id,cost,talktime,validity,comments
3347,12,,2 days,Local Airtel mobile calls @10p/min
3348,13,,3 days,Local Airtel mobile calls at 15p/min
3349,16,,7 days,Local mobile calls @50p/min
3350,21,,28 days,450 MINUTES OF LOCAL A2A MOBILE NIGHT CALLS (12AM-6AM)
3351,22,,28 days,Local & STD mobile calls @45p/min
3352,32,,7 days,Airtel to Airtel Local & STD mobile calls at 15p/min
3353,33,,12 days,Local mobile calls at 45p/min
3354,34,,56 days,Local & STD mobile calls @1p/s
3355,38,,28 days,Local mobile calls @35p/min
3356,43,,28 days,Local & STD mobile calls @40p/min
3357,48,,84 days,Local mobile calls at 45p/min
3358,57,,28 days,Local mobile calls at 25p/min
3359,62,,28 days,Local Airtel mobile calls at 10p/min
3360,63,,56 days,Local mobile calls at 40p/min
3361,67,,84 days,Local & STD mobile calls at 45p/min
3362,71,,28 days,Local & STD Airtel mobile calls at 15p/min
3363,83,,56 days,Local & STD mobile calls at 40p/min
3364,545,,90 days,Free Local and STD Airtel Mobile calls
