id,cost,talktime,validity,comments
2615,5,,14 days,LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
2616,8,,27 days,LOCAL A2A MOBILE CALLS @ 10P/MIN WITH 1ST MIN CHARGING @ 2P/S
2617,13,,27 days,Local + STD mob calls @ 1p/s
2618,16,,N.A,Local A2A mob calls @ 10p/min
2619,17,,27 days,LOCAL MOBILE CALLS @ 30P/MIN WITH 1ST MIN CHARGING @ 2P/S
2620,19,,54 days,Local + STD mob calls @ 1p/s
2621,22,,27 days,Local A2A mob calls @ 10p/min
2622,27,,27 days,Local mob calls @ 30p/min 
2623,32,,28 days,Local A2A Mobile Calls @ 10p/min; Daily 1ST 2 Local A2A mins @ 2p/s
2624,39,,27 days,Local mobile calls @ 30p/min -- STD mobile calls @25p/min
2625,43,,27 days,5500 LOCAL + STD MOBILE & LANDLINE SECS  -- 
2626,67,,54 days,Local mob calls @ 30p/min and STD mob calls @ 25p/min
2627,92,,90 days,120 Local + STD roaming Outgoing minutes -- Local & STD outgoing calls on National Roaming @60p/min
2628,197,,2 days,Unlimited Local & STD calls incl landline 
2629,198,,27 days,32500 Local + STD mob secs 
2630,247,,3 days,Unlimited Local & STD calls incl landline 
2631,297,,4 days,Unlimited Local & STD calls incl landline
2632,545,,75 days,Unlimited Airtel calls. T&C Apply
