id,cost,talktime,validity,comments
2812,10,7.47,N.A,Talktime of Rs. 7.47 for Rs. 10 recharge by Airtel
2813,20,14.95,N.A,Talktime of Rs. 14.95 for Rs. 20 recharge by Airtel
2815,30,22.42,N.A,Talktime of Rs. 22.42 for Rs. 30 recharge by Airtel
2816,40,30.9,N.A,Talktime of Rs. 30.9 for Rs. 40 recharge by Airtel
2818,50,39.37,N.A,Talktime of Rs. 39.37 for Rs. 50 recharge by Airtel
2820,60,47.85,N.A,Talktime of Rs. 47.85 for Rs. 60 recharge by Airtel
2821,70,56.32,N.A,Talktime of Rs. 56.32 for Rs. 70 recharge by Airtel
2822,80,64.8,N.A,Talktime of Rs. 64.8 for Rs. 80 recharge by Airtel
2823,90,73.27,N.A,Talktime of Rs. 73.27 for Rs. 90 recharge by Airtel
2824,100,81.75,N.A,Talktime of Rs. 81.75 for Rs. 100 recharge by Airtel
2825,110,90.22,N.A,Talktime of Rs. 90.22 for Rs. 110 recharge by Airtel
2826,130,123.5,N.A,Talktime of Rs. 123.5 for Rs. 130 recharge by Airtel
2827,140,115.64,N.A,Talktime of Rs. 115.64 for Rs. 140 recharge by Airtel
2828,150,124.12,N.A,Talktime of Rs. 124.12 for Rs. 150 recharge by Airtel
2829,160,132.59,N.A,Talktime of Rs. 132.59 for Rs. 160 recharge by Airtel
2830,200,190,N.A,Talktime of Rs. 190 for Rs. 200 recharge by Airtel
2831,290,242.76,N.A,Talktime of Rs. 242.76 for Rs. 290 recharge by Airtel
2832,320,268.19,N.A,Talktime of Rs. 268.19 for Rs. 320 recharge by Airtel
2833,550,463.1,N.A,Talktime of Rs. 463.1 for Rs. 550 recharge by Airtel
