id,cost,talktime,validity,comments
17360,17,,28 days,Local mobile calls@1ps/sec
17361,21,,28 days,All Local Mobile calls @ 1.2p/sec
17362,28,,28 days,Local mobile 30p/min
17363,33,,28 days,Local VF calls @ 15ps/min 
17364,34,,28 days,"Local Vodafone calls @ 20p/min, Local mobile @ 30p/min"
17365,37,,45 days,Local mobile calls @ 30ps/min 
17366,41,,60 days,Local mobile calls@ 1.6ps/2 seconds
17367,42,,28 days,Local VF calls @ 10ps/min 
17368,45,,28 days,All India mobile 30p/min 
17369,46,,14 days,4860 Local Mobile Seconds
17370,62,,30 days,"All outgoing mobile calls (Local, STD & Roaming) @1p/sec. Pack tariff benefits apply in Kerala and while roaming anywhere in India .Validity 30 days"
17371,64,,28 days,"Local Vodafone calls @ 10p/min, Loc mobile @ 30p/min"
17372,66,,45 days,All India mobile calls @ 30ps/min 
17373,91,,90 days,All India calls @ 1ps/sec
17374,92,,45 days,Local Vodafone calls @ 10ps/min
17375,98,,28 days,9000 Local Mobile Seconds
17376,135,,28 days,15000 Local/STD Mobile Seconds
17377,159,,28 days,17700 Local/STD Mobile Seconds
17378,194,,28 days,25000 Local/STD seconds 
17379,195,,28 days,27000 Local Mobile Seconds
