id,cost,talktime,validity,short description,long description
8643,5,,Till Midnight,Recharge of Rs. 5 by Docomo,Calls to Tata Docomo Network within Orissa @0p/ min (Valid till midnight of recharge day)
8644,6,,7 days,Recharge of Rs. 6 by Docomo,25 Local On-Net Mins. 
8645,19,,3 days,Recharge of Rs. 19 by Docomo,42 Local + STD Mins
8646,28,,42 days,Recharge of Rs. 28 by Docomo,Local Mobile calls @ 1.2p/2sec; STD calls @ 1p/2sec
8647,37,,28 days,Recharge of Rs. 37 by Docomo,Local On-Net mobile calls @ 10p/min (on minute pulse) -- STD On-Net mobile calls @ 30p/min (on minute pulse) -- Landline Local/STD @ 2p/sec
8648,84,,90 days,Recharge of Rs. 84 by Docomo,"Local Mobile calls @ 1.2p/2sec, STD calls @ 1p/2sec "
8649,103,,56 days,Recharge of Rs. 103 by Docomo,Loc/STD T2T Unltd Mobile Calling on TD Network & Loc/STD T2T @ 1p/s on ICR Network
8650,105,,20 days,Recharge of Rs. 105 by Docomo,230 Local + STD mins
8651,147,,5 days,Recharge of Rs. 147 by Docomo,"20 hours Local On-Net Unlimited calls, On-Net Local Calls between 6pm - 10pm @ 1p/ 2secs. -- 1st 60 secs. of the day @ 1.3p/ sec."
8652,148,,14 days,Recharge of Rs. 148 by Docomo,600 L+S Min; then Loc/STD Calls @30p/m on TD Network and L+S Calls @1p/s on ICR Network till expiry of the pack
8653,163,,21 days,Recharge of Rs. 163 by Docomo,"20 hours Local On-Net Unlimited calls, On-Net LocalCalls between 6pm - 10pm @ 1p/ 2secs. --  1st 60 secs. of the day @ 1.3p/ sec."
8654,198,,28 days,Recharge of Rs. 198 by Docomo,Local On-Net Mins: 700 -- Local Mins: 350
8655,241,,25 days,Recharge of Rs. 241 by Docomo,600 Local + STD Mins 
8656,246,,28 days,Recharge of Rs. 246 by Docomo,1200 L+S Min; then Loc/STD Calls @30p/m on TD Network and L+S Calls @1p/s on ICR Network till expiry of the pack
8657,298,,28 days,Recharge of Rs. 298 by Docomo,Loc/STD Unltd Calls till 2000 Min; then Loc/STD Calls@30p/m on TD Network and Loc/STD Calls@1p/s on ICR Network
8658,666,,28 days,Recharge of Rs. 666 by Docomo,2500 Local Mins
