id,cost,talktime,validity,comments
15361,10,7.7,N.A,Talktime of Rs. 7.7 for Rs. 10 recharge by Tata Indicom
15362,20,15.39,N.A,Talktime of Rs. 15.39 for Rs. 20 recharge by Tata Indicom
15363,30,23.09,N.A,Talktime of Rs. 23.09 for Rs. 30 recharge by Tata Indicom
15364,40,31.78,N.A,Talktime of Rs. 31.78 for Rs. 40 recharge by Tata Indicom
15365,50,40.47,N.A,Talktime of Rs. 40.47 for Rs. 50 recharge by Tata Indicom
15366,60,49.18,N.A,Talktime of Rs. 49.18 for Rs. 60 recharge by Tata Indicom
15367,70,57.88,N.A,Talktime of Rs. 57.88 for Rs. 70 recharge by Tata Indicom
15368,80,66.56,N.A,Talktime of Rs. 66.56 for Rs. 80 recharge by Tata Indicom
15369,90,75.26,N.A,Talktime of Rs. 75.26 for Rs. 90 recharge by Tata Indicom
15370,100,83.97,N.A,Talktime of Rs. 83.97 for Rs. 100 recharge by Tata Indicom
15371,110,92.65,N.A,Talktime of Rs. 92.65 for Rs. 110 recharge by Tata Indicom
15372,120,115,N.A,Talktime of Rs. 115 for Rs. 120 recharge by Tata Indicom
