id,cost,talktime,validity,short description,long description
16659,300,300,N.A,Recharge of Rs. 300 by Vodafone,Talktime of Rs. 300 for Rs. 300 recharge by Vodafone
16661,350,350,N.A,Recharge of Rs. 350 by Vodafone,Talktime of Rs. 350 for Rs. 350 recharge by Vodafone
16664,400,400,N.A,Recharge of Rs. 400 by Vodafone,Talktime of Rs. 400 for Rs. 400 recharge by Vodafone
16665,450,450,N.A,Recharge of Rs. 450 by Vodafone,Talktime of Rs. 450 for Rs. 450 recharge by Vodafone
16666,460,460,N.A,Recharge of Rs. 460 by Vodafone,Talktime of Rs. 460 for Rs. 460 recharge by Vodafone
16667,500,500,N.A,Recharge of Rs. 500 by Vodafone,Talktime of Rs. 500 for Rs. 500 recharge by Vodafone
16670,700,700,N.A,Recharge of Rs. 700 by Vodafone,Talktime of Rs. 700 for Rs. 700 recharge by Vodafone
16671,750,750,N.A,Recharge of Rs. 750 by Vodafone,Talktime of Rs. 750 for Rs. 750 recharge by Vodafone
16672,1000,1000,N.A,Recharge of Rs. 1000 by Vodafone,Talktime of Rs. 1000 for Rs. 1000 recharge by Vodafone
16674,1500,1500,N.A,Recharge of Rs. 1500 by Vodafone,Talktime of Rs. 1500 for Rs. 1500 recharge by Vodafone
16675,3000,3000,N.A,Recharge of Rs. 3000 by Vodafone,Talktime of Rs. 3000 for Rs. 3000 recharge by Vodafone
