id,cost,talktime,validity,comments
1164,14,,27 days,All mobile calls @1p/sec
1165,23,,2 days,"UL Aircel to Aircel (Local + STD)  -- This STV should not be used for any Commercial Activity, in which case the pack will be deactivated without further notice. Also, post 200 mins/day, 30p/min applies. Commercial Activity will mean customers using the said product for calling 100 or more unique callers in a week or 1000 mins in a week."
1166,39,,27 days,LA2A 20Ps/Min + L A2M 40ps/Min
1167,46,,27 days,All Local Mobile @30p/Min
1168,53,,27 days,L A2A 10ps/Min
1169,54,,27 days,All mobile calls @25p
1170,71,,27 days,Local A2A @ 10p/m & Local A2M @ 30p/m
1171,74,,60 days,All Local Mobile @30p
1172,94,,81 days,All Local Mobile @30p/Min
1173,116,,81 days,LA2A 20Ps/Min L A2M 40ps/min
1174,121,,81 days,L A2A 10ps/Min
1175,134,,54 days,Local A2A @ 10p/m & Local A2M @ 30p/m
1176,184,,81 days,Local A2A @ 10p/m & Local A2M @ 30p/m
