id,cost,talktime,validity,comments
17978,12,,3 days,Local V2V calls @ 20p/min
17979,17,,28 days,All local mobile calls @30p/min
17980,21,,28 days,All Local & STD Mobile calls @1p/Sec
17981,25,,1 day,Unlimited Vodafone to Vodafone and 60 Min Vodafone to Other Calls
17982,28,,4 days,50 All Local Minutes
17983,29,,3 days,80 Local Vodafone minutes
17984,32,,28 days,Local calls @30p/min
17985,41,,28 days,local Vodafone calls @10p/min
17986,42,,30 days,"All Local, STD & Roaming outgoing calls @1p/sec for 30 days"
17987,47,,28 days,Local V2V calls @ 40p/min -- All STD & Local V2O mobile calls @ 50p/min
17988,65,,28 days,All local calls @ 35p/min
17989,69,,10 days,100 Local & STD minutes
17990,78,,28 days,Local calls @30p/min
17991,79,,28 days,Local @35p/min & STD @45p/min
17992,96,,7 days,400 local +STD mins
17993,99,,5 days,375 Local V2V local Minutes
17994,108,,14 days,190 All local mins
17995,109,,14 days,175 Local & STD Mins
17996,189,,28 days,300 Local + STD mins 
17997,203,,28 days,450 All Local Minutes
17998,219,,28 days,430 Local and STD Minutes
17999,399,,28 days,Free unlimited calls to local VF mobile phones
