id,cost,talktime,validity,short description,long description
15605,10,7.48,N.A,Recharge of Rs. 10 by Indicom,Talktime of Rs. 7.48 for Rs. 10 recharge by Tata Indicom
15606,20,14.94,N.A,Recharge of Rs. 20 by Indicom,Talktime of Rs. 14.94 for Rs. 20 recharge by Tata Indicom
15607,30,22.42,N.A,Recharge of Rs. 30 by Indicom,Talktime of Rs. 22.42 for Rs. 30 recharge by Tata Indicom
15608,40,30.9,N.A,Recharge of Rs. 40 by Indicom,Talktime of Rs. 30.9 for Rs. 40 recharge by Tata Indicom
15609,50,39.38,N.A,Recharge of Rs. 50 by Indicom,Talktime of Rs. 39.38 for Rs. 50 recharge by Tata Indicom
15610,60,47.84,N.A,Recharge of Rs. 60 by Indicom,Talktime of Rs. 47.84 for Rs. 60 recharge by Tata Indicom
15611,70,65,N.A,Recharge of Rs. 70 by Indicom,Talktime of Rs. 65 for Rs. 70 recharge by Tata Indicom
15612,80,64.8,N.A,Recharge of Rs. 80 by Indicom,Talktime of Rs. 64.8 for Rs. 80 recharge by Tata Indicom
15613,89,84,N.A,Recharge of Rs. 89 by Indicom,Talktime of Rs. 84 for Rs. 89 recharge by Tata Indicom
15614,90,85,N.A,Recharge of Rs. 90 by Indicom,Talktime of Rs. 85 for Rs. 90 recharge by Tata Indicom
15615,100,95,N.A,Recharge of Rs. 100 by Indicom,Talktime of Rs. 95 for Rs. 100 recharge by Tata Indicom
15616,330,276.66,N.A,Recharge of Rs. 330 by Indicom,Talktime of Rs. 276.66 for Rs. 330 recharge by Tata Indicom
