id,cost,talktime,validity,comments
6836,28,,90 days,All local On-net calls at 49p per Min -- 
6837,32,,1 day,72 min local or STD any net  -- 
6838,42,,21 days,For Per Min Plan:10ps/min for On-Net voice calls (Local/STD)30ps/min for Off-Net voice calls (Local/STD)For Per Sec Plan:1ps/3secs for On-Net voice calls (Local/STD)2ps/3 secs for Off-Net voice calls (Local/STD)
6839,44,,25 days,Local on any net Rs.1.4 paise 2 Seconds
6840,58,,8 days,5600 Seconds Local or STD to any network
6841,65,,27 days,Local onnet at 15p/mins -- 
6842,69,,30 days,Local Call Anynet at 1 ps per 2 sec
6843,88,,48 days,For Per Min Plan: a. 10ps/min for On-Net voice calls (Local/STD)b. 30ps/min for Off-Net voice calls (Local/STD) -- For Per Sec Plan: a. 1ps/3secs for On-Net voice calls (Local/STD)b. 2ps/3 secs for Off-Net voice calls (Local/STD)
6844,122,,75 days,Local any net 1.4P per 2Sec
6845,135,,28 days,275 min free to any network (Local/STD)
6846,142,,30 days,U/L On net (local/STD) voice calls + U/L Off-net  (local/STD) voice calls (in Home LSA Only). The Free off-net (Local/STD) voice calls is limited to 20min/day -- This STV is applicable only for all free plan-149 customers.
6847,159,,28 days,Free 20300 Sec Loc or STD calls to any network
6848,164,,5 days,Unlimited(Local plus STD)onnet calls -- 
6849,181,,30 days,23800 Sec Local/STD Voice Calls to Any N/w
6850,201,,28 days,Free 26800 Secs  to Any Network Local and STD Calls
6851,343,,24 days,UNLIMITED Local Onnet free -- 
6852,359,,60 days,52000 sec free to any network (Local/STD)
6853,449,,84 days,1400 min free to any network (Local/STD)
6854,574,,27 days,Unlimited Local on-Net Calls and 500 Minutes Free Local /STD Calls Any-Net -- 
6855,699,,28 days,UNLIMITED LOCAL and STD ONNET CALLS -- 
6856,894,,81 days,Unlimited Local OnNet calls -- 
6857,1494,,90 days,Unlimited Local on-Net Calls and 1500 Minutes Free Local /STD Calls Any-Net -- 
