id,cost,talktime,validity,comments
1368,120,120,N.A,Talktime of Rs. 120 for Rs. 120 recharge by Aircel
1370,150,150,N.A,Talktime of Rs. 150 for Rs. 150 recharge by Aircel
1372,200,200,N.A,Talktime of Rs. 200 for Rs. 200 recharge by Aircel
1373,220,220,N.A,Talktime of Rs. 220 for Rs. 220 recharge by Aircel
1375,250,250,N.A,Talktime of Rs. 250 for Rs. 250 recharge by Aircel
1377,300,300,N.A,Talktime of Rs. 300 for Rs. 300 recharge by Aircel
1378,400,400,N.A,Talktime of Rs. 400 for Rs. 400 recharge by Aircel
1379,500,500,N.A,Talktime of Rs. 500 for Rs. 500 recharge by Aircel
1380,1000,1000,N.A,Talktime of Rs. 1000 for Rs. 1000 recharge by Aircel
